,Αριθμός Ταυτότητας,Ημερομηνία Έκδοσης,Όνομα,Given Name,Επώνυμο,Surname,Πατρώνυμο,Mητέρας Όνομα,Επίθετο Μητέρας,Ημερομηνία Γέννησης,Καταγωγή,Ύψος,Δημότης,Αρχή Έκδοσης Δελτίου
10,IE6530760,22/02/2019,Ιερόθεος,Ierotheos,Βαμβακάς,Bambakas,Λέων,Ηλιάνα,Δρακουλή,16/07/1997,Αττική Τρίπολη,-,Ρέθυμνο 18837/2,Υ.Α. Τρίπολη Αττική
11,T5596765,01/10/2015,Ισμήνη,Ismene,Τζιγκούρα,Tzigkoura,Ρήγας,Ελένη,Γεωργίτση,20/09/1955,Λευκάδα Πύργος,-,Σέρρες 98418/8,Υ.Α. Πύργος Λευκάδα
12,K6220303,27/12/2010,Αδάμ,Adam,Ξηρογιάννης,Kserogiannes,Ζαφείριος,Χριστίνα,Διοπούλου,09/02/1946,Λευκάδα Κατερίνη,-,Σέρρες 67172/1,Υ.Α. Κατερίνη Λευκάδα
13,T9216075,03/02/2010,Ευρυδίκη,Eurudike,Χατζηχαρίστου,Khatzekharistou,Θεοτόκης,Παγώνα,Σπαθάρη,19/03/1943,Χίος Κοζάνη,-,Πάτρα 12925/7,Υ.Α. Κοζάνη Χίος
14,M2683615,02/02/2021,Δωρόθεος,Dorotheos,Ορφανάκης,Orphanakes,Παύλος,Παναγιώτα,Μαυροείδη,17/09/1988,Πέλλα Κόρινθος,-,Λάρισα 23151/4,Υ.Α. Κόρινθος Πέλλα
15,H2915798,20/09/2011,Σάρρα,Sarra,Καραμπίνα,Karampina,Πύρρος,Αγλαΐα,Μπατσάκη,24/01/1955,Φωκίδα Κοζάνη,-,Κέρκυρα 51485/2,Υ.Α. Κοζάνη Φωκίδα
16,XH1783784,02/11/2012,Φίλιππος,Philippos,Κουκλατζής,Kouklatzes,Άγγελος,Φιλιώ,Χαλβατζή,26/11/1994,Μαγνησία Αθήνα,-,Καβάλα 32286/1,Υ.Α. Αθήνα Μαγνησία
17,P8946188,02/03/2009,Ζωή,Zoe,Δρυμαλίτου,Drumalitou,Φωκάς,Μαλαμάτη,Καψή,04/06/1976,Τρίκαλα Άρτα,-,Άρτα 78479/7,Υ.Α. Άρτα Τρίκαλα
18,HP4704675,24/03/2012,Γκόλφω,Gkolpho,Ξενάκη,Ksenake,Έκτορας,Κορνηλία,Κουτσικούρη,25/04/1981,Ηράκλειο Καλαμάτα,-,Καλαμάτα 68876/5,Υ.Α. Καλαμάτα Ηράκλειο
19,TM7466243,16/02/2011,Ρουμπίνη,Roumpine,Αλεξοπούλου,Alexopoulou,Φοίβος,Μυρτώ,Σακκή,15/08/1995,Χίος Ιωάννινα,-,Ναύπλιο 16988/1,Υ.Α. Ιωάννινα Χίος
20,B8428976,21/04/2021,Αθηνοδώρα,Athenodora,Μαργιά,Margia,Αγαπητός,Καλλιρόη,Ματσούρη,07/11/1955,Ευρυτανία Βέροια,-,Μυτιλήνη 85256/9,Υ.Α. Βέροια Ευρυτανία
21,OM3235004,09/02/2007,Αριστοφάνης,Aristophanes,Λελεδάκης,Leledakes,Υάκινθος,Ιωάννα,Δαγλή,07/10/2000,Ζάκυνθος Άρτα,-,Λάρισα 75416/3,Υ.Α. Άρτα Ζάκυνθος
22,KZ6140862,07/05/2017,Σταμάτης,Stamates,Γρηγοριάδης,Gregoriades,Θησεύς,Ισαβέλλα,Σεμπέπου,24/11/1951,Ιωάννινα Σπάρτη,-,Μυτιλήνη 80389/4,Υ.Α. Σπάρτη Ιωάννινα
23,M4078560,30/11/2020,Ναταλία,Natalia,Καλομοίρη,Kalomoire,Βενέτιος,Νικητία,Σταματούκου,20/08/1984,Ηλεία Αγ. Νικόλαος,-,Ερμούπολη 52808/3,Υ.Α. Αγ. Νικόλαος Ηλεία
24,A7987448,01/01/2015,Ερμόλαος,Ermolaos,Τεμουρτζίδης,Temourtzides,Αθηνόδωρος,Ιουλιανή,Μπαλή,25/05/1971,Ιωάννινα Χανιά,-,Μεσολόγγι 43313/8,Υ.Α. Χανιά Ιωάννινα
25,O9538255,21/12/2012,Ευανθία,Euanthia,Δάφνη,Daphne,Κάρολος,Γερακίνα,Παλιεράκη,07/02/1914,Λασσίθι Φλώρινα,-,Πολύγυρος 40619/4,Υ.Α. Φλώρινα Λασσίθι
26,TZ3442793,21/01/2013,Κυριακή,Kuriake,Γαλανάκη,Galanake,Στέλλιος,Σμαράγδα,Νατσουλή,19/09/1952,Κέρκυρα Καρδίτσα,-,Βόλος 11190/4,Υ.Α. Καρδίτσα Κέρκυρα
27,N8233310,29/07/2018,Ροδόκλεια,Rodokleia,Ασσαργιωτάκη,Assargiotake,Παύλος,Βασιλική,Τσαχάκη,07/03/1942,Καστοριά Πρέβεζα,-,Καβάλα 59642/7,Υ.Α. Πρέβεζα Καστοριά
28,KB2832891,12/05/2012,Ερασμία,Erasmia,Σιούτα,Siouta,Ιωνάς,Χάρη,Καλλιάνταση,29/03/1937,Ξάνθη Λευκάδα,-,Καβάλα 24532/3,Υ.Α. Λευκάδα Ξάνθη
29,X1912701,10/11/2008,Χριστιάν,Khristian,Κούτρης,Koutres,Αθηναγόρας,Βερονίκη,Χρονοπούλου,27/06/1980,Εύβοια Κιλκίς,-,Αγ. Νικόλαος 90310/6,Υ.Α. Κιλκίς Εύβοια
30,A0151575,14/11/2007,Βελισσαρία,Belissaria,Κουρλού,Kourlou,Γαβριήλ,Ρουμπίνη,Ταυλαρίδου,20/11/2001,Κιλκίς Ρέθυμνο,-,Καστοριά 98053/8,Υ.Α. Ρέθυμνο Κιλκίς
31,O9499412,23/08/2018,Μηνάς,Menas,Ξηρός,Kseros,Δαμασκηνός,Λευκοθέα,Τάσση,03/01/1959,Ζάκυνθος Πύργος,-,Αγ. Νικόλαος 39920/4,Υ.Α. Πύργος Ζάκυνθος
32,Z6229787,09/10/2020,Βλαδίμηρος,Bladimeros,Κατσαβός,Katsabos,Βάιος,Παντελία,Μαγούλα,13/12/1970,Θεσπρωτία Έδεσσα,-,Τρίπολη 91452/8,Υ.Α. Έδεσσα Θεσπρωτία
33,T6945438,26/12/2008,Εριέτα,Erieta,Πολατίδου,Polatidou,Πανταζής,Ζησούλα,Ποταμιάνου,02/01/1977,Κοζάνη Πολύγυρος,-,Κέρκυρα 65159/9,Υ.Α. Πολύγυρος Κοζάνη
34,AK1587512,10/02/2016,Χριστοφόρα,Khristophora,Χατζηχαρίστου,Khatzekharistou,Οδυσσέας,Σωφρονία,Κωτούλα,22/02/1949,Αρκαδία Λάρισα,-,Σέρρες 12715/2,Υ.Α. Λάρισα Αρκαδία
35,BY4109803,04/12/2019,Χαρίκλεια,Kharikleia,Βουλγαρίδου,Boulgaridou,Ιωνάς,Ντανιέλα,Μίχου,08/02/1986,Πρέβεζα Ξάνθη,-,Κόρινθος 32950/1,Υ.Α. Ξάνθη Πρέβεζα
36,T2846953,22/10/2007,Ασκληπιός,Asklepios,Μπλανάς,Mplanas,Ερμής,Βενετία,Μοσχοβάκη,15/06/1914,Ηράκλειο Ερμούπολη,-,Καστοριά 52461/8,Υ.Α. Ερμούπολη Ηράκλειο
37,A8392417,12/06/2015,Θεώνη,Theone,Χατζηχαρίστου,Khatzekharistou,Δημήτριος,Σπυράννα,Χατζηδάκη,18/02/1914,Ηράκλειο Χίος,-,Αγ. Νικόλαος 84885/7,Υ.Α. Χίος Ηράκλειο
38,XA9912455,14/07/2014,Διαμαντούλα,Diamantoula,Προύβα,Prouba,Λογοθέτης,Φλωρίνα,Μαγούλα,27/08/1913,Δωδεκάνησσος Κοζάνη,-,Ρόδος 56845/1,Υ.Α. Κοζάνη Δωδεκάνησσος
39,Z2875986,12/03/2008,Μιράντα,Miranta,Ντότση,Ntotse,Ζήνων,Βησσαρία,Ροδίτου,12/07/1980,Μεσσηνία Ερμούπολη,-,Αγ. Νικόλαος 51405/2,Υ.Α. Ερμούπολη Μεσσηνία
40,HZ5081769,09/07/2020,Θέκλα,Thekla,Δώρη,Dore,Μιχάλης,Κυδωνία,Ξανθοπούλου,06/02/1977,Κοζάνη Φλώρινα,-,Ρόδος 53524/4,Υ.Α. Φλώρινα Κοζάνη
41,T5703664,02/01/2021,Οδύσσεια,Odusseia,Ραδιοπούλου,Radiopoulou,Μαυρίκιος,Κατερίνα,Μποτζιώρη,29/10/1946,Θεσπρωτία Βόλος,-,Σπάρτη 24997/4,Υ.Α. Βόλος Θεσπρωτία
42,OI8543010,10/04/2010,Αυγουστίνα,Augoustina,Τσιομπάνη,Tsiompane,Πίνδαρος,Παταπία,Δημτσούδη,05/05/1979,Έβρος Καλαμάτα,-,Μεσολόγγι 08918/7,Υ.Α. Καλαμάτα Έβρος
43,T6271171,12/11/2020,Ευστρατία,Eustratia,Μαντά,Manta,Οδυσσεύς,Κυράτσα,Κουτσικούρη,20/01/1958,Μεσσηνία Καστοριά,-,Κέρκυρα 42866/9,Υ.Α. Καστοριά Μεσσηνία
44,M9153719,01/06/2017,Αρετή,Arete,Θεοδωροπούλου,Theodoropoulou,Γαλάτιος,Δόμνα,Νάσσου,28/12/2007,Ζάκυνθος Πολύγυρος,-,Πύργος 79115/7,Υ.Α. Πολύγυρος Ζάκυνθος
45,Z7156081,19/12/2019,Μελπομένη,Melpomene,Φειζατίδου,Pheizatidou,Ιπποκράτης,Στέλλα,Νικολάτου,03/07/1969,Χαλκιδική Σέρρες,-,Καβάλα 47723/4,Υ.Α. Σέρρες Χαλκιδική
46,Y1022573,15/11/2006,Λεωνιδιά,Leonidia,Γεωργουλάκη,Georgoulake,Ιούλιος,Λυδία,Κυργιά,25/04/1950,Φωκίδα Ναύπλιο,-,Ναύπλιο 48623/9,Υ.Α. Ναύπλιο Φωκίδα
47,P1611587,22/11/2014,Φιλαρέτη,Philarete,Τσιωλξ,Tsiolx,Παντελεήμων,Βρυσηίς,Τσετσέρη,03/10/1942,Καρδίτσα Κέρκυρα,-,Λευκάδα 89330/4,Υ.Α. Κέρκυρα Καρδίτσα
48,OP5398788,28/09/2012,Τσαμπίκα,Tsampika,Σιδηροπούλου,Sideropoulou,Νεκτάριος,Θέκλα,Κατσαντώνη,19/08/1934,Κοζάνη Λευκάδα,-,Καβάλα 62795/4,Υ.Α. Λευκάδα Κοζάνη
49,KB6099502,20/08/2018,Νικητία,Niketia,Δρακάκη,Drakake,Αχιλλέας,Αρχοντία,Δαΐκου,02/02/1956,Αχαΐα Πάτρα,-,Βόλος 63594/6,Υ.Α. Πάτρα Αχαΐα
50,N7647511,09/12/2009,Ίκαρος,Ikaros,Ορφανάκης,Orphanakes,Δωρόθεος,Ουρανία,Κουτουζίδου,02/03/1973,Κεφαλληνία Άρτα,-,Καβάλα 18716/7,Υ.Α. Άρτα Κεφαλληνία
51,TZ0230436,18/08/2017,Λογοθέτης,Logothetes,Ριζούλης,Rizoules,Ιερεμίας,Χριστιάνα,Παπακωνσταντίνου,05/09/2005,Έβρος Ηγουμενίτσα,-,Ηράκλειο 55813/3,Υ.Α. Ηγουμενίτσα Έβρος
52,Z9959514,06/02/2018,Πάτροκλος,Patroklos,Βουτσάς,Boutsas,Θησεύς,Φλώρα,Δρυμαλίτου,10/06/1960,Πέλλα Ηγουμενίτσα,-,Δράμα 33538/7,Υ.Α. Ηγουμενίτσα Πέλλα
53,K6310345,18/05/2021,Πολυξένη,Poluxene,Πίσπα,Pispa,Βλαδίμηρος,Χρυσοβαλάντου,Βαΐου,09/08/2006,Ηλεία Τρίκαλα,-,Σάμος 05018/8,Υ.Α. Τρίκαλα Ηλεία
54,B9216891,07/08/2009,Σεραφείμ,Serapheim,Πανδής,Pandes,Πίνδαρος,Ανδριανή,Μαυρίδη,11/03/1956,Μαγνησία Πάτρα,-,Δράμα 16137/7,Υ.Α. Πάτρα Μαγνησία
55,PP0963845,07/11/2007,Εριέτα,Erieta,Μπεκάκου,Mpekakou,Πάτροκλος,Επιστήμη,Καπουρνιώτη,15/01/2009,Χαλκιδική Λαμία,-,Ζάκυνθος 29601/2,Υ.Α. Λαμία Χαλκιδική
56,A9307862,14/05/2012,Αλκιβιάδης,Alkibiades,Γιαννόπουλος,Giannopoulos,Νικηφόρος,Ανδριανή,Δρακάκη,30/11/1923,Κιλκίς Μεσολόγγι,-,Κόρινθος 83697/4,Υ.Α. Μεσολόγγι Κιλκίς
57,X4734488,01/05/2014,Σεβαστιανός,Sebastianos,Αυγουστής,Augoustes,Μαυρούδης,Κλυταιμνήστρα,Παπαχρήστου,08/11/1966,Βοιωτία Τρίκαλα,-,Ερμούπολη 46344/1,Υ.Α. Τρίκαλα Βοιωτία
58,O6751122,31/12/2020,Ευπραξία,Eupraxia,Βαζούρα,Bazoura,Κυριάκος,Πολυνίκη,Κοντογιάννη,05/09/1970,Ιωάννινα Ξάνθη,-,Καβάλα 82735/6,Υ.Α. Ξάνθη Ιωάννινα
59,O8687564,13/12/2008,Στέλλα,Stella,Καψή,Kapse,Όμηρος,Χρυσαφένια,Ζεγλίνα,24/05/1963,Αρκαδία Φλώρινα,-,Καρδίτσα 15094/3,Υ.Α. Φλώρινα Αρκαδία
60,O4674571,26/12/2010,Πηνελόπη,Penelope,Παπαθανασίου,Papathanasiou,Στέλλιος,Παρθένα,Κανελή,22/06/1973,Χίος Βέροια,-,Ρόδος 55471/8,Υ.Α. Βέροια Χίος
61,E5610736,07/08/2014,Χλόη,Khloe,Πυροβόλου,Purobolou,Δωρόθεος,Οδύσσεια,Ζαρειφοπούλου,23/11/2001,Χίος Σπάρτη,-,Ηγουμενίτσα 17780/9,Υ.Α. Σπάρτη Χίος
62,KY8332129,27/04/2021,Αριστομένης,Aristomenes,Μανιώτης,Maniotes,Μακάριος,Αρετή,Κοτσινά,03/08/1917,Χαλκιδική Κόρινθος,-,Κόρινθος 82111/9,Υ.Α. Κόρινθος Χαλκιδική
63,A9895740,29/09/2012,Αντίγονος,Antigonos,Ρωμαίου,Romaiou,Λογοθέτης,Ξένη,Καρβέλη,15/01/1946,Λάρισσα Ερμούπολη,-,Τρίπολη 81216/2,Υ.Α. Ερμούπολη Λάρισσα
64,IA4990852,22/03/2015,Φρίξος,Phrixos,Δάρας,Daras,Έκτορας,Αννίκα,Σπαθάρη,29/09/1922,Χίος Καρδίτσα,-,Τρίκαλα 08154/6,Υ.Α. Καρδίτσα Χίος
65,YZ7826713,21/11/2015,Χαρίλαος,Kharilaos,Λαζαρίδης,Lazarides,Μάριος,Κλημεντίνη,Βουλτσίδου,20/02/1996,Αττική Τρίκαλα,-,Αγ. Νικόλαος 64500/9,Υ.Α. Τρίκαλα Αττική
66,B9181780,01/02/2011,Λάζαρος,Lazaros,Πευκιανάκης,Peukianakes,Ελευθέριος,Διαμαντούλα,Ζωντανού,25/04/2003,Φλώρινα Χαλκίδα,-,Κιλκίς 38013/9,Υ.Α. Χαλκίδα Φλώρινα
67,B8832168,21/01/2008,Αιμιλία,Aimilia,Μασιάλα,Masiala,Λέανδρος,Ακριβή,Κονιάρη,05/12/1915,Καβάλα Πρέβεζα,-,Πύργος 12642/3,Υ.Α. Πρέβεζα Καβάλα
68,B2744201,07/07/2018,Κυριαζής,Kuriazes,Παπαευαγγελίου,Papaeuaggeliou,Χρυσοβαλάντιος,Γαλήνη,Αργυρίου,26/08/1974,Λασσίθι Βόλος,-,Χαλκίδα 12187/8,Υ.Α. Βόλος Λασσίθι
69,PB7229546,25/05/2012,Γκίκας,Gkikas,Αναστασόπουλος,Anastasopoulos,Τσαμπίκος,Αννίκα,Φαββάτα,10/10/1926,Καβάλα Άρτα,-,Πύργος 74633/3,Υ.Α. Άρτα Καβάλα
70,YH6707278,29/02/2012,Παντελής,Panteles,Ραχμανίδης,Rakhmanides,Κοσμάς,Αγάθη,Δαμήλου,09/05/1965,Ξάνθη Λάρισα,-,Κοζάνη 37451/2,Υ.Α. Λάρισα Ξάνθη
71,MX7747218,11/03/2019,Ευθυμία,Euthumia,Ταυλαρίδου,Taularidou,Μερκούριος,Ρούσα,Μαυροπούλου,05/12/1986,Φθιώτιδα Αθήνα,-,Καρπενήσι 18551/3,Υ.Α. Αθήνα Φθιώτιδα
72,NK6437619,16/08/2008,Ηράκλεια,Erakleia,Σόφρα,Sophra,Περικλής,Χλόη,Δαγλή,26/03/1927,Κεφαλληνία Αγ. Νικόλαος,-,Πάτρα 89033/1,Υ.Α. Αγ. Νικόλαος Κεφαλληνία
73,BO1751376,06/09/2013,Αντίγονος,Antigonos,Περράκης,Perrakes,Πύρρος,Υπαπαντή,Γαλανάκη,24/01/1932,Πρέβεζα Ναύπλιο,-,Ηράκλειο 47511/9,Υ.Α. Ναύπλιο Πρέβεζα
74,Y6574827,17/03/2012,Γιώργος,Giorgos,Χρονόπουλος,Khronopoulos,Αρτέμιος,Μαντώ,Παυλάκη,02/06/1961,Πρέβεζα Κόρινθος,-,Βέροια 61479/3,Υ.Α. Κόρινθος Πρέβεζα
75,N1480322,28/07/2015,Σμαράγδα,Smaragda,Φειζατίδου,Pheizatidou,Χρήστος,Διαλεκτή,Σεμπέπου,31/07/1986,Φλώρινα Σέρρες,-,Αγ. Νικόλαος 69792/3,Υ.Α. Σέρρες Φλώρινα
76,K8881997,04/03/2021,Βαρθολομαίος,Bartholomaios,Ευκαρπίδης,Eukarpides,Φανούριος,Υακίνθη,Εμμανουηλίδου,10/05/1929,Κέρκυρα Ρόδος,-,Σέρρες 48923/1,Υ.Α. Ρόδος Κέρκυρα
77,Y6010834,07/12/2014,Φρίξος,Phrixos,Τζανουδάκης,Tzanoudakes,Ζαφείρης,Ελισάβετ,Ζαννίκου,15/07/1945,Φλώρινα Καρδίτσα,-,Αλεξανδρούπολη 16958/1,Υ.Α. Καρδίτσα Φλώρινα
78,H2561288,27/03/2018,Φιλιππία,Philippia,Πάνου,Panou,Δημήτρης,Ματίνα,Λύτρα,05/10/1968,Χαλκιδική Καβάλα,-,Ζάκυνθος 03957/2,Υ.Α. Καβάλα Χαλκιδική
79,YT7292841,15/12/2011,Ναθαναήλ,Nathanael,Κουτσουρέλης,Koutsoureles,Ευσέβιος,Ναυσικά,Μαυρίδου,05/04/2005,Ζάκυνθος Γρεβενά,-,Πάτρα 23060/4,Υ.Α. Γρεβενά Ζάκυνθος
80,HX8053971,12/03/2012,Αριστοφάνης,Aristophanes,Αθανασάκης,Athanasakes,Διογένης,Ανάργυρη,Τσούρα,24/08/1964,Δωδεκάνησσος Πρέβεζα,-,Ηράκλειο 75949/6,Υ.Α. Πρέβεζα Δωδεκάνησσος
81,N8104496,08/07/2013,Ζηνοβία,Zenobia,Τραγούστη,Tragouste,Μίνωας,Αθηνοδώρα,Παλιεράκη,20/01/1972,Κυκλάδες Λαμία,-,Σάμος 31140/6,Υ.Α. Λαμία Κυκλάδες
82,I8541233,08/05/2010,Βικέντια,Bikentia,Πολέμη,Poleme,Αρτέμης,Πηγή,Πέττα,18/05/2005,Χίος Ναύπλιο,-,Άρτα 92131/3,Υ.Α. Ναύπλιο Χίος
83,EZ3179705,05/03/2016,Αύγουστος,Augoustos,Βώσσος,Bossos,Ιερεμίας,Ευπραξία,Ψυρρή,06/03/1938,Φλώρινα Φλώρινα,-,Σπάρτη 67264/8,Υ.Α. Φλώρινα Φλώρινα
84,KM8839327,11/08/2012,Ιουλιανός,Ioulianos,Κυργιάκης,Kurgiakes,Παντελής,Σωφρονία,Σαλέμη,27/04/1943,Αρκαδία Πολύγυρος,-,Σέρρες 99497/4,Υ.Α. Πολύγυρος Αρκαδία
85,PM8123640,08/05/2017,Πέτρα,Petra,Βασιλάκη,Basilake,Βαρσάμος,Λευκοθέα,Ζαρζάνη,12/12/1932,Βοιωτία Καστοριά,-,Μυτιλήνη 37780/7,Υ.Α. Καστοριά Βοιωτία
86,A2578584,09/04/2017,Θεόκλεια,Theokleia,Εμμανουηλίδου,Emmanouelidou,Κλεόπας,Λήδα,Θεοδοσιάδου,20/02/1926,Θεσπρωτία Χίος,-,Σέρρες 62078/9,Υ.Α. Χίος Θεσπρωτία
87,M3502692,06/09/2015,Θέμις,Themis,Χορτάτου,Khortatou,Μερκούριος,Σμαράγδα,Ντάνου,23/05/1960,Σάμος Κιλκίς,-,Άμφισσα 74975/7,Υ.Α. Κιλκίς Σάμος
88,T2138056,18/11/2014,Ξανθός,Ksanthos,Ψάλτης,Psaltes,Σωτήρης,Αδαμαντία,Καλδή,19/04/1970,Σέρρες Βέροια,-,Σπάρτη 38353/4,Υ.Α. Βέροια Σέρρες
89,H5590722,20/11/2012,Σεβαστιανή,Sebastiane,Ανεζάκη,Anezake,Τριαντάφυλλος,Ολύμπια,Βαλεντή,20/02/1962,Χίος Σέρρες,-,Χίος 08899/2,Υ.Α. Σέρρες Χίος
90,TP6704427,17/04/2021,Ιορδάνης,Iordanes,Φουτσιτζής,Phoutsitzes,Ασημάκης,Λουίζα,Πολατίδου,13/06/1928,Φωκίδα Έδεσσα,-,Σέρρες 68600/2,Υ.Α. Έδεσσα Φωκίδα
91,B3339281,19/04/2016,Ροδάνθη,Rodanthe,Γρίβα,Griba,Λουκάς,Σωφρονία,Χρονοπούλου,12/04/1968,Ρέθυμνο Αλεξανδρούπολη,-,Αλεξανδρούπολη 90057/3,Υ.Α. Αλεξανδρούπολη Ρέθυμνο
92,ZH8153557,15/03/2009,Ζηνόβιος,Zenobios,Λεμονής,Lemones,Αναξαγόρας,Αλεξάνδρα,Ξηροτύρη,02/06/1971,Θεσσαλονίκη Πύργος,-,Ιωάννινα 58565/1,Υ.Α. Πύργος Θεσσαλονίκη
93,X2686265,06/04/2013,Μακάριος,Makarios,Τσιάκος,Tsiakos,Δαμασκηνός,Χρυσόστομη,Φωλιά,20/05/1942,Λάρισσα Ερμούπολη,-,Κιλκίς 45414/8,Υ.Α. Ερμούπολη Λάρισσα
94,EI6070993,15/01/2011,Χριστόδουλος,Khristodoulos,Μπερεδήμας,Mperedemas,Αγαμέμνων,Αυγουστίνα,Κασμιρλή,26/08/1912,Δράμα Δράμα,-,Ναύπλιο 06101/7,Υ.Α. Δράμα Δράμα
95,AI6852374,19/11/2018,Αφροδίτη,Aphrodite,Μαλίμη,Malime,Δημοκράτης,Μαργιέττα,Αθανασιάδου,21/06/1972,Ηλεία Ναύπλιο,-,Σάμος 51678/6,Υ.Α. Ναύπλιο Ηλεία
96,MB0245387,16/07/2018,Καλλιρρόη,Kallirroe,Μιχελακάκη,Mikhelakake,Χαρίλαος,Λουκία,Μασιάλα,14/08/1998,Πέλλα Χανιά,-,Χαλκίδα 90045/8,Υ.Α. Χανιά Πέλλα
97,E4291331,26/03/2008,Δανάη,Danae,Παπαθανασίου,Papathanasiou,Κλεάνθης,Δέσποινα,Νάσσου,28/08/1955,Θεσπρωτία Μεσολόγγι,-,Πολύγυρος 96569/7,Υ.Α. Μεσολόγγι Θεσπρωτία
98,P2099294,21/10/2008,Ευφροσύνη,Euphrosune,Δρακάκη,Drakake,Τσαμπίκος,Σπυριδούλα,Χρυσανθακοπούλου,31/08/1977,Έβρος Σάμος,-,Πύργος 03251/6,Υ.Α. Σάμος Έβρος
99,MY7976678,19/11/2014,Αυξέντιος,Auxentios,Πιτσάκης,Pitsakes,Ευδόξιος,Βέρα,Τσέτου,09/12/2001,Φωκίδα Ιωάννινα,-,Άρτα 54460/5,Υ.Α. Ιωάννινα Φωκίδα
100,K3291788,08/12/2017,Ανδριανή,Andriane,Κουμάρα,Koumara,Πάρις,Λουίζα,Αβραμπέκη,15/06/1950,Ζάκυνθος Αθήνα,-,Ηγουμενίτσα 61879/7,Υ.Α. Αθήνα Ζάκυνθος
101,I2676462,21/10/2015,Ελέσσα,Elessa,Μπαφέρα,Mpaphera,Αριστομένης,Σουμέλα,Κατσούλα,28/10/1997,Λασσίθι Πολύγυρος,-,Μυτιλήνη 16039/5,Υ.Α. Πολύγυρος Λασσίθι
102,EX5625483,16/09/2006,Ιωακείμ,Ioakeim,Ρόδης,Rodes,Λέων,Ερασμία,Τσιούπρα,29/08/1925,Ροδόπη Δράμα,-,Τρίπολη 48369/2,Υ.Α. Δράμα Ροδόπη
103,H1101185,08/09/2013,Φωκίων,Phokion,Σταματιάδης,Stamatiades,Αντύπας,Ελένη,Κανελή,03/03/1961,Φθιώτιδα Λιβαδιά,-,Έδεσσα 45541/2,Υ.Α. Λιβαδιά Φθιώτιδα
104,E6501819,10/02/2017,Πολύμνια,Polumnia,Αγγελίδου,Aggelidou,Βαρδής,Κυράτσα,Καμπούρη,01/08/1923,Τρίκαλα Ρέθυμνο,-,Λιβαδιά 86861/6,Υ.Α. Ρέθυμνο Τρίκαλα
105,XB2753467,10/12/2018,Σάββας,Sabbas,Παναγιωτακόπουλος,Panagiotakopoulos,Γιάννης,Τσαμπίκα,Βασιλείου,10/02/1956,Πιερία Αγ. Νικόλαος,-,Ηράκλειο 22610/7,Υ.Α. Αγ. Νικόλαος Πιερία
