,Identity No,Surname,Given Name,Date of Birth,Gender,Document No,Nationality,Date of Expire,Mother's name,Father's name,Issuing Authority
14,196591624,FIRAT,DOĞUHAN,05.11.2008,E/M,K73E33031,TC/TUR,03.08.2027,SEYHAN,ERSEÇ,T.C. İÇIŞLERI BAKANLIĞI
15,21145106480,ALEMDAR,DINÇSÜ,24.03.1967,E/M,O07I11237,TC/TUR,11.07.2031,KEFSER,ALMUS,T.C. İÇIŞLERI BAKANLIĞI
16,87380157986,DURDU,RAMADAN,28.10.1983,E/M,M93O49720,TC/TUR,13.10.2021,YILDIZ,GÖKTEN,T.C. İÇIŞLERI BAKANLIĞI
17,44963039687,ÖCALAN,SEVGINUR,04.04.1965,K/F,Y80E78817,TC/TUR,27.07.2030,ÖZDEŞ,VÂLÂ,T.C. İÇIŞLERI BAKANLIĞI
18,8389980538,ÜLKER,ACAR,11.02.1952,E/M,T90H36292,TC/TUR,09.11.2029,HÜRÜYET,TÜMER,T.C. İÇIŞLERI BAKANLIĞI
19,11976430351,BILGIN,HILAYDA,18.11.1970,K/F,Y89O22391,TC/TUR,22.09.2028,HÜMEYRA,MEFARETTIN,T.C. İÇIŞLERI BAKANLIĞI
20,54305724055,BILIR,GÜLNAZIYE,19.10.1938,K/F,I19H34745,TC/TUR,24.07.2023,FATIGÜL,GÜRSAL,T.C. İÇIŞLERI BAKANLIĞI
21,16623710498,ÇAMURCUOĞLU,SAKIP,30.05.1956,E/M,O69A59501,TC/TUR,21.11.2022,GÜLFARI,CERCIS,T.C. İÇIŞLERI BAKANLIĞI
22,43465857452,KARADENIZ,KIYASI,04.07.1993,E/M,E81X52907,TC/TUR,21.03.2031,SEBLÂ,SEVDI,T.C. İÇIŞLERI BAKANLIĞI
23,56517844380,GÜÇLÜ,ELAMIYE,02.08.1922,K/F,A53E20028,TC/TUR,28.05.2024,ŞENNUR,ÇALTI,T.C. İÇIŞLERI BAKANLIĞI
24,3153854268,ŞENER,MÜNEZZER,26.05.1996,K/F,O50H19606,TC/TUR,15.04.2027,ÜRPER,HÜRYAŞAR,T.C. İÇIŞLERI BAKANLIĞI
25,20746689621,AKÇAY,ÇOĞAY,07.05.1938,E/M,K01T46363,NIC,25.04.2029,BILGINUR,ALKOR,T.C. İÇIŞLERI BAKANLIĞI
26,15893750112,YÜKSEL,ŞEFI,23.06.1927,E/M,I27M47459,TC/TUR,15.09.2023,SEHEL,ÖKTÜRK,T.C. İÇIŞLERI BAKANLIĞI
27,95237930653,YÜKSEL,NEBIHA,24.06.1943,K/F,P81O67442,SEN,28.03.2025,HANIM,GÜNVER,T.C. İÇIŞLERI BAKANLIĞI
28,10399115043,DEMIR,AYSUNA,31.03.2008,K/F,O11P85086,TC/TUR,10.07.2029,ANKA,RAZI,T.C. İÇIŞLERI BAKANLIĞI
29,23758588267,KORUTÜRK,ZERAFET,20.09.1945,K/F,H18N36751,TC/TUR,18.03.2025,ANARGÜL,ÖNEL,T.C. İÇIŞLERI BAKANLIĞI
30,56068202419,BILGE,İLKBAHAR,20.02.1983,K/F,P50P61466,TC/TUR,02.05.2027,MÜCEVHER,VEZAT,T.C. İÇIŞLERI BAKANLIĞI
31,4850398814,DURDU,RUHIDE,23.10.2007,K/F,B70X87448,TC/TUR,20.12.2022,GÜLTER,SENCAR,T.C. İÇIŞLERI BAKANLIĞI
32,9906731516,ARSOY,KARAER,17.06.1964,E/M,M19B55192,TC/TUR,08.04.2024,REBIHAT,DOĞANŞAH,T.C. İÇIŞLERI BAKANLIĞI
33,20931949443,AKGÜNDÜZ,ERBIL,28.01.1973,E/M,M97M53873,TC/TUR,13.05.2027,SEÇGÜL,DEMIROK,T.C. İÇIŞLERI BAKANLIĞI
34,64553501181,AKDENIZ,ÜGE,02.06.1967,K/F,H36P22628,TC/TUR,25.03.2028,AVUNÇ,TEVS,T.C. İÇIŞLERI BAKANLIĞI
35,297851350,KARADENIZ,HAVSE,30.09.1975,K/F,O65N62589,TC/TUR,19.02.2026,MELÛL,ERGENER,T.C. İÇIŞLERI BAKANLIĞI
36,71120505083,KISAKÜREK,ERVANIYE,15.01.1986,K/F,I59O11961,TC/TUR,26.03.2028,MAHNAZ,OĞUZMAN,T.C. İÇIŞLERI BAKANLIĞI
37,7052280494,ŞENSOY,YOLAL,18.07.1969,E/M,K81Z97780,TC/TUR,11.12.2026,GÜLSÜ,MIHIN,T.C. İÇIŞLERI BAKANLIĞI
38,42462328071,MANÇO,HANSULTAN,12.07.1935,K/F,I33Z43804,TC/TUR,25.08.2026,TUĞÇE,ALEXANDRU,T.C. İÇIŞLERI BAKANLIĞI
39,76006895758,YILDIRIM,İLKIM,26.06.1956,E/M,Z37M50896,TC/TUR,08.07.2025,AYNIMAH,AKCIVAN,T.C. İÇIŞLERI BAKANLIĞI
40,6885892813,KORUTÜRK,MÜSEMMA,11.07.1969,K/F,Y62P35336,TC/TUR,18.05.2028,DURGADIN,KETE,T.C. İÇIŞLERI BAKANLIĞI
41,14941268965,YÜKSEL,BABA,26.09.1964,E/M,P20O04490,TC/TUR,23.01.2024,MEZIDE,ERTAN,T.C. İÇIŞLERI BAKANLIĞI
42,21548596760,ÜLKER,NILCAN,22.09.1943,K/F,X80I05208,TC/TUR,12.05.2028,ÇILGA,ÖZOKÇU,T.C. İÇIŞLERI BAKANLIĞI
43,45460413857,MANÇO,MUSAFFA,04.07.1974,K/F,O67K52362,TC/TUR,14.01.2022,ŞÜKÜFE,HIÇSÖNMEZ,T.C. İÇIŞLERI BAKANLIĞI
44,47349624363,ÇORLU,NURŞAN,19.09.1988,K/F,A34X96304,TC/TUR,26.10.2027,TÜRKNUR,TAHIR,T.C. İÇIŞLERI BAKANLIĞI
45,8811285116,DEMIREL,İMGE,03.12.2005,K/F,E66Z89351,TC/TUR,27.09.2029,SEMRIN,SÜHA,T.C. İÇIŞLERI BAKANLIĞI
46,61241011692,ASLAN,BATURAY,20.07.1955,E/M,E26O34285,TC/TUR,06.03.2029,MUVAHHIDE,BINBAŞAR,T.C. İÇIŞLERI BAKANLIĞI
47,22868486261,ERGÜL,CERCIS,24.09.2009,E/M,H86O32966,TC/TUR,05.12.2022,ATIYYE,ZIHNI,T.C. İÇIŞLERI BAKANLIĞI
48,66301216396,ERDOĞAN,GÜNKURT,23.01.1999,E/M,Y67B34008,TC/TUR,25.10.2025,FERYAS,CANTEZ,T.C. İÇIŞLERI BAKANLIĞI
49,62556030383,AKDENIZ,SAHIL,28.03.1946,K/F,N00B28347,TC/TUR,12.10.2022,BERIYE,AKKERMAN,T.C. İÇIŞLERI BAKANLIĞI
50,58568359252,YÜKSEL,SELCEN,21.11.1927,K/F,Z15A75707,KGZ,11.04.2027,DILHUŞ,ESENTÜRK,T.C. İÇIŞLERI BAKANLIĞI
51,77271688568,ÇORLU,COŞKUN,19.11.1944,E/M,N55X65853,TC/TUR,04.07.2022,LERZE,ŞEHAMET,T.C. İÇIŞLERI BAKANLIĞI
52,98739093816,FIRAT,NECMETTIN,30.10.1948,E/M,P79T74605,TC/TUR,24.04.2024,HEZNIYE,SARGIN,T.C. İÇIŞLERI BAKANLIĞI
53,96162693776,ZORLU,SUPHI,16.07.1971,E/M,B29N11670,TC/TUR,09.09.2028,YEKBUN,SULHI,T.C. İÇIŞLERI BAKANLIĞI
54,23806991449,ARSOY,ADAK,25.12.1947,E/M,P61B46186,TC/TUR,03.01.2030,SANAVBER,SEÇME,T.C. İÇIŞLERI BAKANLIĞI
55,1400354060,ŞENSOY,BILTAŞ,11.04.2003,E/M,O63I54587,TC/TUR,20.04.2030,TEMIME,AZETTIN,T.C. İÇIŞLERI BAKANLIĞI
56,73327121145,ÜLKER,SEDIFE,31.10.1975,K/F,Y99K65608,TC/TUR,26.06.2029,KAVER,YÜCELEN,T.C. İÇIŞLERI BAKANLIĞI
57,52810813815,YÜKSEL,ARIFCAN,19.06.1911,E/M,P13K41486,TC/TUR,03.12.2024,ZEHRANUR,ZIHNI,T.C. İÇIŞLERI BAKANLIĞI
58,21544157105,KISAKÜREK,ABDÜLKERIM,28.08.1939,E/M,Z41I87595,TC/TUR,06.10.2026,HATIN,HUDAVENT,T.C. İÇIŞLERI BAKANLIĞI
59,4881976821,SEZER,RAZI,12.01.1995,E/M,X39K42574,TC/TUR,05.06.2030,BALLI,ÖZSÖZLÜ,T.C. İÇIŞLERI BAKANLIĞI
60,59313231179,ARSOY,MÜLÂYIM,28.07.2006,E/M,H50T87023,TC/TUR,17.01.2028,GÜLEV,GÜNŞEN,T.C. İÇIŞLERI BAKANLIĞI
61,36782202331,YÜKSEL,YARGI,28.11.1986,E/M,Y91N63723,TC/TUR,05.11.2028,YURTSEVEN,ABDULKADIR,T.C. İÇIŞLERI BAKANLIĞI
62,11534274317,ERTAŞ,FERINAZ,18.04.1985,K/F,B27T39820,TC/TUR,10.10.2024,SIRAP,ÇAMOK,T.C. İÇIŞLERI BAKANLIĞI
63,17348412386,ERASLAN,ÜÇGÜL,03.07.1975,K/F,O63P95605,TC/TUR,02.01.2025,MÜMTAZE,RECEPALI,T.C. İÇIŞLERI BAKANLIĞI
64,4823776411,ALEMDAR,MIYESSER,03.11.1992,K/F,E01T55919,TC/TUR,10.01.2023,ZÜLBIYE,HALUK,T.C. İÇIŞLERI BAKANLIĞI
65,77745767626,DURMUŞ,ARMAHAN,02.01.1969,K/F,H85O91849,TC/TUR,29.02.2028,DILŞAT,TANYOLAÇ,T.C. İÇIŞLERI BAKANLIĞI
66,47439246786,DEMIR,İNSAF,16.01.1941,K/F,T42T95844,TC/TUR,06.08.2023,MUJDE,TUNÇKILIÇ,T.C. İÇIŞLERI BAKANLIĞI
67,70653152416,SEZGIN,KIRGIZ,13.04.1942,E/M,I00X23279,TC/TUR,23.03.2025,FEYHA,ONUKER,T.C. İÇIŞLERI BAKANLIĞI
68,34939529015,SEZER,FERYAS,28.02.1981,K/F,T55M22436,TC/TUR,22.04.2030,DUYGUHAN,ULU,T.C. İÇIŞLERI BAKANLIĞI
69,96861246277,ÇORLU,HANSULTAN,22.04.1998,K/F,A53N60009,TC/TUR,02.05.2028,İLKBAHAR,ÇERÇI,T.C. İÇIŞLERI BAKANLIĞI
70,57802107612,GÜÇLÜ,PEMBESIN,27.02.1923,K/F,I34K42650,TC/TUR,30.05.2023,İSRA,GÜÇLÜER,T.C. İÇIŞLERI BAKANLIĞI
71,82191932860,AKÇAY,BALATEKIN,03.02.2007,E/M,A81T28015,TC/TUR,19.08.2028,GÜLHISAR,ŞEFI,T.C. İÇIŞLERI BAKANLIĞI
72,87227634946,FIRAT,BIŞAR,30.04.1934,E/M,I12H04787,TC/TUR,02.07.2031,AYBET,TANDOĞDU,T.C. İÇIŞLERI BAKANLIĞI
73,56616524055,MANÇO,TUNGUÇ,09.01.1950,E/M,T38M94299,ROU,31.12.2027,SAMAHAT,ERKINEL,T.C. İÇIŞLERI BAKANLIĞI
74,43338147569,ALEMDAR,DENKEL,04.07.1972,E/M,P77B72902,TC/TUR,21.01.2027,AYDURU,ŞEMSETTIN,T.C. İÇIŞLERI BAKANLIĞI
75,37506996577,BILGIN,ABDULGAZI,10.04.2001,E/M,A89N51291,TC/TUR,06.02.2024,HASRET,ERDOGAN,T.C. İÇIŞLERI BAKANLIĞI
76,24882048725,GÜL,ALAADDIN,21.06.1919,E/M,H73T12591,TC/TUR,06.08.2023,HUBAN,ALIABBAS,T.C. İÇIŞLERI BAKANLIĞI
77,62293671578,ÖCALAN,YEKBUN,24.12.2005,K/F,B83Y74141,TC/TUR,13.07.2023,KITAN,PAKER,T.C. İÇIŞLERI BAKANLIĞI
78,81193324608,ASLAN,SUNEL,02.02.2001,E/M,E18H35798,AFG,17.09.2025,ŞILAN,SIYLIHAN,T.C. İÇIŞLERI BAKANLIĞI
79,4853387147,DURDU,SÜMEYYE,10.02.1964,E/M,Y53B06144,TC/TUR,06.02.2031,CANSEVEN,KOLDAN,T.C. İÇIŞLERI BAKANLIĞI
80,42609129094,KARADENIZ,RÜMEYSA,13.11.1998,K/F,Y88O06858,TC/TUR,31.10.2024,TEYBET,GÜÇLÜER,T.C. İÇIŞLERI BAKANLIĞI
81,41537100563,ÜLKER,KORUGAN,10.09.1992,E/M,H50P53350,NPL,23.10.2022,MUVAHHIDE,AYDINBEY,T.C. İÇIŞLERI BAKANLIĞI
82,54256217360,DURDU,GÜLŞA,10.06.1930,K/F,N19B99770,TC/TUR,21.05.2031,EŞIM,FERZI,T.C. İÇIŞLERI BAKANLIĞI
83,67866436850,ERDOĞAN,ERIK,07.06.1954,E/M,Z84T30570,TC/TUR,10.12.2022,SAYGIN,ALTOĞAN,T.C. İÇIŞLERI BAKANLIĞI
84,30541533342,TEVETOĞLU,YADIGAR,18.12.1958,E/M,M74Y35440,TC/TUR,04.04.2025,İZEL,ERKINEL,T.C. İÇIŞLERI BAKANLIĞI
85,4097269122,DURMUŞ,CANBERK,05.06.1964,E/M,N11K42849,TC/TUR,09.01.2025,GÜNEBAKAN,ERCIHAN,T.C. İÇIŞLERI BAKANLIĞI
86,99525643009,SAKARYA,SUPHI,06.01.1997,E/M,A73Y64581,TC/TUR,17.12.2021,RENGÜL,ÜNLEN,T.C. İÇIŞLERI BAKANLIĞI
87,83235801061,DEMIR,BAŞAY,17.08.1939,E/M,M80Z69891,TC/TUR,21.06.2024,GÜLDER,MESTUR,T.C. İÇIŞLERI BAKANLIĞI
88,55993240269,YAMAN,NAYIL,23.02.1969,E/M,A43B55161,TC/TUR,15.02.2024,AFIFE,ULUTAY,T.C. İÇIŞLERI BAKANLIĞI
89,34670798484,ZORLU,TUĞÇE,08.09.1937,K/F,P17A27997,TC/TUR,05.07.2025,SITI,ABDÜRREŞIT,T.C. İÇIŞLERI BAKANLIĞI
90,98399674010,YILDIRIM,ONUKER,11.07.1936,E/M,K45M44134,TC/TUR,04.08.2025,AYSUNA,AHAT,T.C. İÇIŞLERI BAKANLIĞI
91,56243501568,ALEMDAR,MIHRAB,13.11.1942,K/F,I08T26773,TC/TUR,23.03.2026,NAZ,DURUK,T.C. İÇIŞLERI BAKANLIĞI
92,3609255238,YAMAN,ÖZBILGE,03.06.1952,K/F,K55T98612,TC/TUR,12.12.2027,ŞAHINDER,SEVINDIK,T.C. İÇIŞLERI BAKANLIĞI
93,44149424674,BILGE,FAIZE,21.01.1946,K/F,B74E94942,TC/TUR,23.05.2023,HANBIKEN,OLDAĞ,T.C. İÇIŞLERI BAKANLIĞI
94,63205356658,DUMANLI,MUHAMMET,28.06.1961,E/M,B35Y65539,TC/TUR,05.11.2026,CANUR,KARAER,T.C. İÇIŞLERI BAKANLIĞI
95,3689751761,YILDIRIM,İZEL,21.10.1939,K/F,O60E93713,TC/TUR,05.11.2025,İZEL,NURAL,T.C. İÇIŞLERI BAKANLIĞI
96,7374726731,HAYRIOĞLU,SEFER,06.05.1972,K/F,E98N37889,TC/TUR,16.09.2022,SÜSEN,ÖZTÜRK,T.C. İÇIŞLERI BAKANLIĞI
97,95136199340,ÇORLU,GÜNSER,28.06.2007,E/M,E89M17008,TC/TUR,08.05.2025,EDAVIYE,SAMI,T.C. İÇIŞLERI BAKANLIĞI
98,32681167182,İNÖNÜ,YILDIR,08.10.1965,E/M,I83B15416,TC/TUR,22.03.2023,ADILA,ALANALP,T.C. İÇIŞLERI BAKANLIĞI
99,37522796661,ERDOĞAN,FATIGÜL,27.05.1947,K/F,H36M99539,LUX,21.12.2027,FERAYE,ÇAKAR,T.C. İÇIŞLERI BAKANLIĞI
100,20711715170,ARSOY,ISMIK,11.10.1923,E/M,T91K12489,TC/TUR,24.08.2026,ZAHFER,SERDA,T.C. İÇIŞLERI BAKANLIĞI
101,65646569924,GÜLEN,TIMURTAŞ,13.11.1961,E/M,N90X17456,TC/TUR,05.03.2025,ARZIYE,AĞMUR,T.C. İÇIŞLERI BAKANLIĞI
102,33183743030,AKGÜNDÜZ,NURTAÇ,18.09.1982,K/F,Y59O29103,TC/TUR,26.11.2026,HEVA,AKBOĞA,T.C. İÇIŞLERI BAKANLIĞI
103,15017208634,İHSANOĞLU,DENIZALP,03.05.1928,E/M,T79K47962,TC/TUR,23.02.2030,FEYHA,ABDULKADIR,T.C. İÇIŞLERI BAKANLIĞI
104,69894445082,MANSIZ,ATAGÜN,30.09.2002,E/M,Y92M46744,TC/TUR,08.12.2029,AŞHAN,MÜLÂYIM,T.C. İÇIŞLERI BAKANLIĞI
105,45733336428,MANÇO,TAŞKAN,18.12.1994,E/M,I88X90380,TC/TUR,11.03.2029,LÂLE,NABIL,T.C. İÇIŞLERI BAKANLIĞI
106,51819146222,ALEMDAR,ALAZ,31.08.1969,K/F,Z15B86625,TC/TUR,02.10.2024,TAGANGÜL,KARAKUCAK,T.C. İÇIŞLERI BAKANLIĞI
107,37674414453,SEZER,BORATAŞ,01.12.1912,E/M,M93A34593,TC/TUR,21.05.2027,EFIL,ROHAT,T.C. İÇIŞLERI BAKANLIĞI
108,48655547716,ERTAŞ,SOLMA,21.03.1974,K/F,N83I50045,TC/TUR,09.09.2029,NURVEREN,DÜNDARALP,T.C. İÇIŞLERI BAKANLIĞI
109,95100934715,MANÇO,KETE,27.07.1939,E/M,X66A94722,BIH,24.01.2024,ÇEVREGÜL,OKYALAZ,T.C. İÇIŞLERI BAKANLIĞI
110,67775679465,DURDU,DURGADIN,24.06.1926,K/F,B58E78665,TC/TUR,13.12.2021,MEYHANIM,İMAM,T.C. İÇIŞLERI BAKANLIĞI
111,91927158249,ERGÜL,LÂLE,19.10.1946,K/F,X49X61950,TC/TUR,15.05.2027,HOŞKADEM,ÜZER,T.C. İÇIŞLERI BAKANLIĞI
112,95483969110,SEVEN,AĞMUR,28.08.2002,E/M,Z53Y39052,TC/TUR,30.11.2028,AYTEN,AYAYDIN,T.C. İÇIŞLERI BAKANLIĞI
113,98434376381,ASLAN,REHIME,26.04.1989,K/F,E42K80271,JOR,17.10.2026,MÜĞBER,KIZILTUNÇ,T.C. İÇIŞLERI BAKANLIĞI
114,75321236014,SEVEN,ÇOĞAY,24.12.1991,E/M,X67T30710,TC/TUR,10.05.2027,AÇILAY,FEREMEZ,T.C. İÇIŞLERI BAKANLIĞI
115,37600900053,BILIR,NEZIHI,11.04.1926,E/M,H57H41795,TC/TUR,13.05.2025,ZERAFET,TOLONBAY,T.C. İÇIŞLERI BAKANLIĞI
116,80349883458,TÜRK,GENÇAY,26.09.1924,E/M,K63H16264,TC/TUR,15.06.2024,MEZIDE,TAŞAR,T.C. İÇIŞLERI BAKANLIĞI
117,97102447236,YILDIRIM,EZGIN,25.11.1957,K/F,X40E67846,TC/TUR,16.06.2022,REFET,YELESEN,T.C. İÇIŞLERI BAKANLIĞI
118,4092506171,AKAR,ENGINIZ,21.03.1938,E/M,A66T08253,TC/TUR,07.10.2030,HASRET,AKDURMUŞ,T.C. İÇIŞLERI BAKANLIĞI
119,93595677711,SOYLU,TORHAN,05.08.1984,E/M,H62P19487,TC/TUR,20.08.2029,AMRE,CEBESOY,T.C. İÇIŞLERI BAKANLIĞI
120,81864016894,İHSANOĞLU,AĞMUR,29.08.1997,E/M,X11I40393,TC/TUR,05.02.2023,SERVINAZ,ÇELIKKAN,T.C. İÇIŞLERI BAKANLIĞI
121,10710543020,GÜÇLÜ,PEMBESIN,30.09.1934,K/F,P77P88634,TC/TUR,09.06.2026,NEZIZE,GÖKNUR,T.C. İÇIŞLERI BAKANLIĞI
122,12650082625,ALEMDAR,DEMIROK,24.06.1916,E/M,P25T21075,TC/TUR,07.03.2030,YASEMEN,EMRULLAH,T.C. İÇIŞLERI BAKANLIĞI
123,1528966041,GÜL,MÜNEZZER,10.05.1923,K/F,N43M57512,TC/TUR,05.02.2031,GÜLÇE,NURETDIN,T.C. İÇIŞLERI BAKANLIĞI
124,87203521190,ÜLKER,GÜLGEN,14.12.2005,K/F,I12H93937,NLD,20.10.2024,LAIKA,SERDA,T.C. İÇIŞLERI BAKANLIĞI
125,4679980104,AKÇAY,MÜZEKKER,31.07.1991,E/M,K38K23488,TC/TUR,16.12.2026,YÜCEL,HAYRET,T.C. İÇIŞLERI BAKANLIĞI
126,3212503510,ÇETIN,TÜLIN,10.01.1975,K/F,A73E00400,TC/TUR,30.06.2030,MÜMTAZE,SAVNI,T.C. İÇIŞLERI BAKANLIĞI
127,96743891621,ŞAMA,ARIFCAN,24.11.1981,E/M,P07Z97759,TC/TUR,29.06.2031,VARLIK,ZAMIR,T.C. İÇIŞLERI BAKANLIĞI
128,69721253511,YORULMAZ,ABDÜLKERIM,12.01.1917,E/M,N85E22633,TC/TUR,15.12.2028,GÖRSEV,BILENDER,T.C. İÇIŞLERI BAKANLIĞI
129,4270308170,SEVEN,SAYDAM,12.09.1996,E/M,O92H55847,TC/TUR,08.04.2023,BEYHATUN,ERKSOY,T.C. İÇIŞLERI BAKANLIĞI
130,6374913187,ALEMDAR,SAVNI,16.02.1912,E/M,H19O97281,TC/TUR,11.03.2027,ÖRFIYE,ÖĞET,T.C. İÇIŞLERI BAKANLIĞI
131,86492970999,TÜRK,NIĞMET,11.12.1966,K/F,Z77K61366,TC/TUR,08.04.2029,HAYRÜNNISA,TEKECAN,T.C. İÇIŞLERI BAKANLIĞI
132,56951137681,ŞENER,UFUKAY,04.02.1967,K/F,B58K28320,TC/TUR,18.03.2026,AYTÖZ,ADAK,T.C. İÇIŞLERI BAKANLIĞI
133,26120777427,ÇETIN,DIVAN,03.06.2007,K/F,K69X86568,TC/TUR,25.02.2022,EMINE.,ŞAHAT,T.C. İÇIŞLERI BAKANLIĞI
134,45545276734,AKDENIZ,RAKIDE,21.09.1919,K/F,X89H29241,TC/TUR,21.12.2027,MUHIYE,BAYTAL,T.C. İÇIŞLERI BAKANLIĞI
135,33765256794,ARSLAN,ŞAZIME,06.04.1945,K/F,I26Z36331,TC/TUR,12.02.2024,HINET,HIÇSÖNMEZ,T.C. İÇIŞLERI BAKANLIĞI
136,67009130208,GÜÇLÜ,ORÇIN,15.02.1912,K/F,I54N95912,TC/TUR,27.12.2029,SULTANE,İLALMIŞ,T.C. İÇIŞLERI BAKANLIĞI
137,40709343278,KARADENIZ,DÜNDARALP,22.09.1943,E/M,E20Y21463,TC/TUR,08.02.2028,GONCAFER,SAVNI,T.C. İÇIŞLERI BAKANLIĞI
138,3933301108,ZENGIN,ÇELEM,22.01.1925,E/M,P29E42197,TC/TUR,15.11.2021,ADVIYE,ÖZKENT,T.C. İÇIŞLERI BAKANLIĞI
139,8064685149,SEZER,TANGÜL,01.09.1947,K/F,H30T43178,TC/TUR,27.01.2028,AKGÜNEŞ,ERSEÇ,T.C. İÇIŞLERI BAKANLIĞI
140,34302917061,DEMIR,IŞIN,12.06.1916,K/F,K75T82932,TC/TUR,24.07.2022,FAIZE,DEVINER,T.C. İÇIŞLERI BAKANLIĞI
141,93225253744,YILDIRIM,AKMARAL,22.02.1933,K/F,H34H74277,TC/TUR,12.12.2028,SAHIL,ÖZTÜRK,T.C. İÇIŞLERI BAKANLIĞI
142,54501532184,ŞENSOY,KORAY,20.06.1915,E/M,Y29T02106,TC/TUR,18.03.2027,UĞUR,YILMAZ,T.C. İÇIŞLERI BAKANLIĞI
143,59531196914,ÖCALAN,FILIT,15.05.2005,E/M,Z98A80676,TC/TUR,30.08.2022,ZEYNO,ŞENKAL,T.C. İÇIŞLERI BAKANLIĞI
144,91061801137,ŞAFAK,ÜBEYDULLAH,31.07.1978,E/M,M89M67585,KOR,02.03.2029,AYTÖZ,HÜRYAŞAR,T.C. İÇIŞLERI BAKANLIĞI
145,82165455244,ŞAMA,BULUNÇ,09.01.1993,E/M,X63K19175,TC/TUR,24.03.2025,RAFIA,URHAN,T.C. İÇIŞLERI BAKANLIĞI
146,63268845416,ŞAMA,NAZENDE,05.02.1962,K/F,H35M84327,TC/TUR,22.06.2024,DILŞAT,AKDORA,T.C. İÇIŞLERI BAKANLIĞI
147,28723225932,BILIR,SAYIN,01.05.1984,E/M,H24O87083,TC/TUR,13.05.2029,MEFHARET,UTKUCAN,T.C. İÇIŞLERI BAKANLIĞI
148,77449161923,SOYLU,EVCIMEN,20.01.1952,E/M,B94Z27604,TC/TUR,13.11.2027,SEJDA,ABDULMENAF,T.C. İÇIŞLERI BAKANLIĞI
149,15162909431,YILMAZ,YEŞIL,13.06.1939,K/F,E02Y77198,BEN,10.05.2024,MENFEAT,KAVURT,T.C. İÇIŞLERI BAKANLIĞI
150,65882802632,BILGE,MUARRA,24.10.1990,K/F,M82O37694,TC/TUR,08.12.2022,ÜMMÜHAN,KELÂMI,T.C. İÇIŞLERI BAKANLIĞI
151,31362543583,YAMAN,EMIŞ,29.07.1945,K/F,M69X04416,TC/TUR,20.03.2031,AFIFE,KORKMAZALP,T.C. İÇIŞLERI BAKANLIĞI
152,7091965741,ASLAN,BENGIBAY,10.06.1914,E/M,T67P36391,TC/TUR,24.03.2027,LERZE,AĞMUR,T.C. İÇIŞLERI BAKANLIĞI
153,75343852768,AKÇAY,BESIN,25.11.1932,E/M,O23B52899,TC/TUR,13.09.2030,MÜKRÜME,JANKAT,T.C. İÇIŞLERI BAKANLIĞI
