,Surname,Given Name,Gender,Height,Nationality,Date of Birth,Identity No.,Document No.,Date of Expire,Parents,Tax No.,Social Security No.,Health No.
23,Pinho,Kevin,M,1.77,PRT,31 05 1963,28159035,28159035 6 ZZ3,08 08 2023,Dinis Neto | Jéssica Correia,7927351,844185562056438,758212986237
24,Gomes,Débora,F,1.62,PRT,10 05 1949,94230482,94230482 7 ZZ4,01 02 2031,Dinis Amaral | Nair Domingues,5995980,572589357460660,571918149406
25,Gaspar,César,M,1.85,PRT,22 07 1981,63939138,63939138 1 ZZ3,28 10 2029,Emanuel Macedo | Débora Paiva,2572032,914467618241966,354746529650
26,Neto,Erica,F,1.76,PRT,18 01 1951,68655371,68655371 0 ZZ8,01 06 2029,Bernardo Castro | Luana Barbosa,3463776,584663452056476,134558343400
27,Melo,Yara,F,1.81,PRT,15 09 1973,26501596,26501596 8 ZZ9,11 03 2027,Guilherme Azevedo | Bárbara Sousa,5871546,521408333358213,628450317946
28,Pinho,Gil,M,1.68,PRT,26 10 2002,96591745,96591745 1 ZZ8,03 09 2022,Santiago Alves | Nicole Costa,4174297,674632768547306,392383659518
29,Pinheiro,Marcos,M,1.64,PRT,03 10 1915,51235065,51235065 3 ZZ2,30 07 2024,Mauro Assunção | Filipa Pinheiro,520950,464134899893377,133344974321
30,Marques,Bryan,M,1.75,PRT,19 11 1933,85958276,85958276 6 ZZ6,07 08 2030,José Nascimento | Victória Barros,9646104,654877888836410,524165612214
31,Rocha,Ivo,M,1.88,PRT,08 10 1918,46984543,46984543 3 ZZ7,21 06 2026,Nuno Paiva | Benedita Valente,7590855,983634021519422,304550534464
32,Brito,Lara,F,1.8,PRT,28 09 1912,84869888,84869888 1 ZZ0,20 04 2027,Guilherme Guerreiro | Laura Gomes,4420657,620699058645675,754615701472
33,Nogueira,Ângela,F,1.34,PRT,29 10 1946,45148900,45148900 0 ZZ9,25 06 2031,Alexandre Pereira | Íris Pereira,233200,786427416921264,562480973088
34,Fernandes,Daniel,M,1.6,PRT,04 10 1944,48466128,48466128 3 ZZ0,25 07 2025,Mário Borges | Fabiana Costa,2322610,125902180694859,938513169306
35,Borges,Kévim,M,1.72,PRT,27 03 1930,7912309,07912309 3 ZZ2,26 05 2029,Eduardo Marques | Ana Pacheco,1569862,282764846077125,322458966099
36,Monteiro,Ricardo,M,1.87,PRT,24 03 1995,3482868,03482868 2 ZZ1,19 03 2030,Carlos Mota | Ana Oliveira,119515,848623912682717,606907553266
37,Marques,Carminho,F,1.57,POL,27 07 1931,36282529,36282529 8 ZZ8,18 11 2029,Wilson Pacheco | Petra Machado,986086,622391378772291,309371738945
38,Fonseca,José,M,1.97,BHR,04 12 1983,7534140,07534140 3 ZZ7,24 10 2030,Samuel Ramos | Eduarda Antunes,5678137,446227686993049,85152764142
39,Amaral,Alícia,F,1.73,PRT,20 04 1953,23605475,23605475 2 ZZ9,17 08 2031,César Borges | Sara Neves,3268520,672829908356257,646200862876
40,Monteiro,Diana,F,1.67,PRT,29 05 1949,74325172,74325172 7 ZZ6,25 02 2023,Joaquim Nogueira | Carminho Santos,5876341,892201441563148,938429713578
41,Fernandes,Alexandra,F,1.85,PRT,13 12 1911,38390926,38390926 1 ZZ3,13 06 2024,Simão Mota | Ângela Marques,2055887,458444217455043,276181910109
42,Branco,Victória,F,1.62,PRT,25 03 1971,18256235,18256235 7 ZZ0,08 03 2023,Ismael Domingues | Madalena Oliveira,9559568,684837823091764,959315670329
43,Correia,Luís,M,1.68,PRT,20 01 1989,97962200,97962200 8 ZZ5,26 02 2030,Vasco Paiva | Luísa Carneiro,5241394,452372269126703,625760090737
44,Simões,Guilherme,M,1.75,NAM,23 02 1982,2233553,02233553 0 ZZ1,21 01 2030,Micael Domingues | Ângela Pinto,422835,677995067648706,796997806546
45,Costa,Yara,F,1.92,PRT,15 07 1968,12452322,12452322 8 ZZ8,18 07 2026,Noa Lopes | Isabel Matos,3702293,628539334256993,296427735371
46,Nogueira,Micael,M,1.44,PRT,18 12 1949,448806,00448806 4 ZZ2,30 05 2025,Mário Carvalho | Érica Borges,7165131,674848022783357,950996897068
47,Barros,Mateus,M,1.47,PRT,25 11 2008,45245653,45245653 9 ZZ7,12 07 2027,João Anjos | Valentina Vicente,2237185,133868788202903,118740479989
48,Melo,Iara,F,1.83,PRT,19 06 1984,97855370,97855370 1 ZZ2,31 03 2025,Lisandro Oliveira | Camila Abreu,6415331,555131692232638,90574025243
49,Lourenço,Lia,F,1.69,PRT,30 08 1935,39441404,39441404 2 ZZ1,29 09 2025,Afonso Marques | Bruna Neves,3564752,863852176780329,842813428536
50,Barros,Anita,F,1.88,PRT,28 12 1993,51278115,51278115 4 ZZ5,16 10 2029,Edgar Vieira | Maria Ferreira,4415947,242833524387854,519555215585
51,Castro,Mauro,M,1.8,PRT,23 03 1983,73637221,73637221 5 ZZ3,02 02 2028,Gonçalo Matos | Alexandra Almeida,622263,489910877893247,298481126661
52,Carvalho,Matilde,F,1.28,PRT,26 07 1914,69965503,69965503 3 ZZ7,12 02 2022,Matias Mota | Vitória Abreu,8561647,768459838852589,649905354259
53,Miranda,Lucas,M,1.78,PRT,15 05 1979,95971960,95971960 1 ZZ9,01 04 2028,Duarte Sá | Lara Pinto,3380371,714250397800786,9449367350
54,Freitas,Nelson,M,1.78,PRT,02 05 1963,41968535,41968535 9 ZZ3,11 06 2031,Miguel Domingues | Melissa Esteves,2746319,921088557954975,755464060250
55,Monteiro,Bruno,M,1.8,PRT,10 11 1950,38579731,38579731 6 ZZ8,25 11 2029,Jorge Lima | Eva Almeida,2191777,405292227468709,196043006679
56,Baptista,Enzo,M,1.95,PRT,14 06 2004,33551293,33551293 9 ZZ2,19 12 2028,Martim Henriques | Teresa Cardoso,9081221,125681976636878,306235976142
57,Moura,Bernardo,M,1.82,PRT,23 03 1971,61239740,61239740 4 ZZ6,03 09 2026,Joel Amorim | Débora Gonçalves,9560417,234246254699548,695776268095
58,Esteves,Luísa,F,1.88,PRT,06 09 1973,88561836,88561836 6 ZZ5,22 04 2024,Salvador Silva | Mia Martins,5539412,610368592493894,402372230993
59,Melo,Lucas,M,1.88,PRT,12 08 1978,60942071,60942071 4 ZZ7,18 02 2031,Dinis Martins | Bárbara Magalhães,7744869,744829551536239,336773616101
60,Simões,Brian,M,1.82,PRT,24 03 1924,4898248,04898248 7 ZZ4,18 01 2030,Fernando Faria | Benedita Sá,711444,719119647722310,110859270011
61,Loureiro,Mia,F,1.86,MDA,16 04 2003,842002,00842002 0 ZZ5,03 06 2031,Fábio Pacheco | Fabiana Moura,2252596,14550355936851,764526104459
62,Ramos,Benjamim,M,1.84,PRT,07 01 1922,50470434,50470434 9 ZZ8,21 08 2030,Paulo Borges | Alice Nascimento,9135454,622824318355391,241443565394
63,Pires,Eduardo,M,1.64,PRT,12 07 1957,17149770,17149770 2 ZZ4,23 08 2025,Rodrigo Leite | Violeta Miranda,4136904,155147978110307,825918710436
64,Castro,Joaquim,M,1.5,PRT,02 05 1990,76814478,76814478 1 ZZ1,06 04 2024,David Santos | Isabel Monteiro,5487984,498138692864796,853019482936
65,Baptista,Tomás,M,1.76,PRT,13 01 1911,74126551,74126551 0 ZZ6,27 06 2031,Sebastião Nascimento | Ângela Macedo,3136840,417936290128122,626710923446
66,Simões,Kelly,F,1.9,PRT,31 07 1999,95524174,95524174 8 ZZ9,22 03 2028,Enzo Moura | Amélia Maia,3306185,366048192526889,779390687175
67,Monteiro,Pilar,F,1.86,PRT,29 06 2010,5901793,05901793 4 ZZ1,10 02 2026,Gil Barros | Yasmin Valente,9646152,170368080457027,51444900973
68,Tavares,Andreia,F,1.72,VAT,27 05 1951,80416490,80416490 7 ZZ4,08 12 2028,Tiago Lopes | Alexandra Alves,2924833,353140526352586,567289442313
69,Antunes,Fabiana,F,1.76,PRT,08 06 2004,40056433,40056433 4 ZZ8,09 04 2023,Alexandre Amaral | Júlia Soares,5460499,481608598012201,471267157812
70,Correia,Caetana,F,1.73,PRT,27 07 2008,7528943,07528943 3 ZZ9,15 04 2027,Dinis Leite | Caetana Borges,4367335,997212532777183,464973798596
71,Mendes,Andreia,F,1.68,PRT,14 04 1957,30000955,30000955 4 ZZ3,29 10 2026,Diego Gomes | Ema Marques,7686226,254528890601364,279161437014
72,Gaspar,Jaime,M,1.93,PRT,02 06 1988,44430291,44430291 6 ZZ5,13 12 2024,Martim Nogueira | Benedita Lopes,4815303,824351808935807,677569636238
73,Monteiro,Alexandre,M,1.89,SYC,18 09 2009,46548422,46548422 6 ZZ3,06 06 2026,Hugo Gonçalves | Victória Barbosa,7130047,58072372235727,827002387787
74,Domingues,Jorge,M,1.62,PRT,31 07 1984,45965421,45965421 8 ZZ8,15 11 2028,Márcio Cunha | Vera Gomes,7457183,226749260636461,988894662404
75,Assunção,Ângelo,M,1.71,RWA,26 11 1926,55728178,55728178 7 ZZ2,27 01 2024,Salvador Lourenço | Luana Faria,6124940,476430839390439,632069774910
76,Soares,Jéssica,F,1.84,PRT,31 01 1919,72228929,72228929 5 ZZ4,09 07 2027,Lisandro Gonçalves | Emília Antunes,6773335,518909004703842,573425538781
77,Batista,Luna,F,1.94,PER,25 07 1956,8390624,08390624 6 ZZ2,29 10 2028,Igor Pereira | Miriam Brito,2393486,398073839737161,621670621818
78,Vaz,Rui,M,1.8,PRT,18 01 1986,55683020,55683020 1 ZZ8,19 11 2021,Dinis Barbosa | Luísa Santos,187906,445973299136125,786640516488
79,Almeida,Diana,F,1.97,PRT,10 10 1927,76334553,76334553 5 ZZ6,15 12 2029,Fábio Leite | Yasmin Brito,7643189,126748751378169,758594376459
80,Santos,Alice,F,1.67,PRT,02 11 1928,15262488,15262488 0 ZZ0,22 12 2028,José Sousa | Luna Batista,2356074,216818711405547,3360876775
81,Nunes,Caetana,F,1.71,PRT,30 09 1943,11152247,11152247 4 ZZ3,23 12 2029,Noah Castro | Mélanie Jesus,1810538,546854655857853,421189574116
82,Nunes,Raquel,F,1.59,PRT,14 03 1987,67899983,67899983 5 ZZ2,24 08 2027,Bryan Fonseca | Nair Mota,1547220,199651291474664,837641966804
83,Soares,Enzo,M,1.57,PRT,06 11 1996,32546488,32546488 7 ZZ5,20 10 2026,Sandro Silva | Nair Loureiro,7268863,722448902890430,865957187765
84,Campos,Nair,F,1.88,PRT,19 07 1983,68886770,68886770 6 ZZ7,10 03 2024,Igor Monteiro | Andreia Carneiro,9647614,943974783641941,359036550780
85,Ribeiro,Vicente,M,1.81,PRT,01 12 1913,66200351,66200351 1 ZZ9,23 12 2021,Ivan Rodrigues | Alice Cunha,5436445,752068591500265,301939846632
86,Antunes,Tomás,M,1.7,PRT,08 11 1960,39938850,39938850 8 ZZ6,07 05 2030,Santiago Nogueira | Caetana Costa,9578530,591611924862114,147510927904
87,Simões,Gil,M,1.69,PRT,13 05 1979,30362531,30362531 0 ZZ4,25 07 2024,Sandro Matias | Kelly Barros,4085474,805737961763770,715186542153
88,Freitas,Rafael,M,1.62,PRT,12 12 2004,37419173,37419173 0 ZZ8,27 04 2031,Ismael Maia | Pilar Batista,4159600,847290608711909,442287876470
89,Carneiro,Laura,F,1.77,AUT,22 07 1936,75610252,75610252 2 ZZ3,17 03 2024,Lisandro Machado | Adriana Soares,3838060,276569182634954,59465060994
90,Monteiro,Joel,M,1.89,PRT,09 10 2010,86871829,86871829 7 ZZ0,22 03 2023,Fábio Teixeira | Luísa Martins,305541,676548392290337,941338684070
91,Andrade,Ariana,F,1.7,PRT,05 05 1973,49833396,49833396 6 ZZ9,13 12 2025,Márcio Alves | Tatiana Loureiro,1673395,797084266144294,27051429876
92,Amaral,Luís,M,1.47,PRT,27 09 1911,51247105,51247105 8 ZZ0,11 02 2031,Hugo Carvalho | Francisca Branco,6520804,415835408526107,122622949056
93,Amaral,Jorge,M,1.74,PRT,09 05 2007,54392580,54392580 3 ZZ8,05 03 2029,Mauro Macedo | Juliana Anjos,3635726,799782410436794,801028658703
94,Mota,Santiago,M,1.56,LAO,01 03 1911,57156441,57156441 3 ZZ0,04 07 2025,Diogo Ramos | Jéssica Loureiro,3910436,850533199543765,539010154650
95,Figueiredo,Gaspar,M,1.87,BLZ,29 10 1965,51168,00051168 4 ZZ8,02 03 2022,Cristiano Fonseca | Leonor Faria,9277549,764619905367387,695355329623
96,Moura,Mafalda,F,1.72,PRT,27 07 1931,90503312,90503312 7 ZZ8,27 06 2030,Tomás Cardoso | Constança Ramos,6191566,388352334972312,907781108194
97,Campos,Érica,F,1.74,PRT,10 04 1988,29314111,29314111 1 ZZ5,22 10 2027,Hugo Maia | Lia Assunção,5505390,262671365794503,981881489001
98,Soares,Jorge,M,1.77,PRT,02 12 1940,97680692,97680692 4 ZZ8,06 07 2031,Tiago Esteves | Anita Brito,8477747,743119878530506,307255605993
99,Martins,Constança,F,1.76,PRT,20 02 1947,75559521,75559521 9 ZZ8,22 09 2024,Alexandre Moreira | Beatriz Antunes,3088473,43892765205460,457921811968
100,Figueiredo,Frederico,M,1.55,PRT,22 08 1948,44126302,44126302 9 ZZ2,17 09 2025,Rúben Vicente | Margarida Fonseca,8450223,623886097614805,548949145798
101,Fernandes,Tiago,M,1.9,PRT,04 11 2005,41814613,41814613 1 ZZ5,03 01 2023,Dinis Baptista | Patrícia Moura,9005800,780785949801810,495845487871
102,Melo,Sérgio,M,1.55,PRT,21 02 1974,10303480,10303480 5 ZZ2,19 01 2030,Ivan Mendes | Kelly Santos,5499895,170671905496697,430094757283
103,Figueiredo,Daniel,M,1.78,PRT,05 03 1920,30662427,30662427 6 ZZ5,23 03 2025,Diogo Leite | Ema Pires,4443221,509198454620324,103386022183
104,Amorim,Xavier,M,1.56,PRT,22 08 1997,75104900,75104900 2 ZZ6,28 03 2031,Miguel Oliveira | Maria Neves,8457667,90164830355929,96140164102
105,Amaral,Duarte,M,1.43,PRT,24 04 1996,76420827,76420827 6 ZZ2,21 03 2031,Luca Vicente | Débora Abreu,7811658,347526688361561,990994823942
106,Mendes,Núria,F,1.83,KIR,13 12 2000,27177955,27177955 7 ZZ3,12 12 2021,Samuel Maia | Constança Sousa,8856119,653241717729484,347611110539
107,Monteiro,Mariana,F,1.77,PRT,04 10 1917,71778847,71778847 7 ZZ2,03 04 2030,Valentim Lima | Ana Pacheco,8702170,563383845134079,803386925673
108,Sousa,Brian,M,1.68,PRT,03 02 1974,68400407,68400407 3 ZZ7,01 01 2031,Xavier Marques | Nair Santos,5580516,857680522006119,551719329507
109,Faria,Noa,M,1.66,PRT,15 09 2005,95627713,95627713 1 ZZ7,25 05 2031,Sandro Castro | Alice Garcia,3713259,452721538037449,582410338891
110,Fonseca,Maria,F,1.93,PRT,02 05 1915,52193059,52193059 6 ZZ0,21 06 2023,Santiago Sá | Violeta Abreu,3786370,777748677466257,75802099461
111,Henriques,Manuel,M,1.73,JPN,08 08 1989,17291966,17291966 1 ZZ2,30 05 2022,Guilherme Pires | Fabiana Gonçalves,8292710,977067511458716,201780329243
112,Pacheco,Isaac,M,1.81,PRT,17 01 1956,34358059,34358059 8 ZZ7,11 01 2029,Bryan Faria | Luna Ferreira,9652510,455087750358577,421861516323
113,Abreu,Martim,M,2.01,PRT,05 09 1962,96154645,96154645 4 ZZ5,20 02 2030,Vicente Cunha | Juliana Neves,462295,720876514381608,22175222923
114,Moura,Ângelo,M,1.66,PRT,15 07 2002,77808126,77808126 9 ZZ6,31 03 2022,Carlos Lourenço | Daniela Cardoso,8171796,180908825488589,368455474644
115,Carneiro,Vitória,F,1.54,PRT,24 10 1915,43093659,43093659 6 ZZ6,21 03 2030,Rodrigo Lopes | Renata Teixeira,4831573,601958349730176,826807174136
116,Gonçalves,Renato,M,1.73,PRT,07 02 1948,47306405,47306405 3 ZZ5,10 04 2029,Joaquim Alves | Amélia Sousa,3536452,880222876268972,812728353115
117,Abreu,Diogo,M,2.01,PRT,06 05 1919,39749297,39749297 6 ZZ9,31 03 2031,Eduardo Morais | Luísa Nunes,3074729,367116283465456,330091732102
118,Neto,Diogo,M,1.71,PRT,04 02 1911,47154377,47154377 5 ZZ8,08 02 2026,Tiago Rocha | Íris Lima,3668937,604459283040905,57726952337
119,Alves,Kelly,F,1.88,PRT,10 04 1928,90455128,90455128 1 ZZ8,05 11 2027,Álvaro Abreu | Alícia Torres,6011019,378146608551534,549674864064
120,Batista,Irina,F,1.49,PRT,11 06 1934,13264769,13264769 7 ZZ4,17 03 2030,Rui Andrade | Filipa Nascimento,6598515,767882996359180,99442174646
121,Baptista,Denis,M,1.73,PRT,01 09 1941,83334765,83334765 7 ZZ6,13 05 2028,Carlos Machado | Mariana Guerreiro,4845298,604861927331957,820847665208
122,Melo,Luís,M,1.87,PRT,26 10 1969,21803909,21803909 7 ZZ2,22 02 2022,Gabriel Cardoso | Ângela Maia,8066208,491498765293322,938679610318
123,Machado,Ângelo,M,1.69,PRT,08 06 1977,9491781,09491781 7 ZZ6,29 04 2023,Paulo Alves | Isabela Coelho,4381277,316635866569388,183851701514
124,Leal,Simão,M,1.82,PRT,14 07 1982,83312833,83312833 6 ZZ0,15 12 2027,Renato Machado | Núria Mota,2763451,318112523675357,958799005050
125,Matias,Mauro,M,1.71,PRT,15 05 1962,70729059,70729059 8 ZZ9,07 02 2026,Guilherme Lourenço | Andreia Martins,7761235,731840808783879,102445002631
126,Pires,Nicole,F,1.63,PRT,15 10 2002,97063126,97063126 4 ZZ3,26 08 2025,Enzo Fonseca | Joana Lima,5110037,170159518006312,832928409433
127,Simões,Leonor,F,1.61,PRT,20 09 1947,21551141,21551141 2 ZZ9,19 04 2023,Vasco Maia | Erica Monteiro,9332114,715705096346976,416854138267
128,Sá,Mia,F,1.67,PRT,07 09 1964,34497065,34497065 8 ZZ5,08 10 2026,Ângelo Borges | Camila Paiva,3512037,476302231265463,504565458135
129,Neves,Leonor,F,1.57,PRT,10 01 1954,33520343,33520343 5 ZZ6,05 08 2031,Nelson Moura | Alexandra Pinheiro,5565442,67769981569816,774026882086
130,Lopes,Raquel,F,1.39,PRT,13 08 1962,72463771,72463771 5 ZZ2,10 09 2030,Filipe Pinheiro | Nair Reis,2508960,63151547655897,174547945734
131,Ribeiro,Kyara,F,1.56,PRT,08 09 1967,99742567,99742567 9 ZZ5,21 03 2029,Gaspar Vieira | Juliana Sousa,4461795,633959062716856,511590566461
132,Fonseca,Débora,F,1.75,PRT,09 08 1951,74322774,74322774 4 ZZ7,26 07 2025,Lisandro Ferreira | Anita Cardoso,7417123,685595888039802,31248601221
133,Alves,Leonardo,M,1.68,PRT,03 03 1928,26530440,26530440 0 ZZ8,16 05 2027,Márcio Fernandes | Rafaela Silva,5795788,545582408834182,186064679281
134,Maia,Paulo,M,1.94,PRT,09 09 1940,99853931,99853931 7 ZZ5,20 02 2029,Simão Coelho | Isabela Antunes,2121375,572053256395103,565706201593
135,Azevedo,Ângela,F,1.56,PRT,02 07 2002,15521157,15521157 6 ZZ3,14 03 2030,Rafael Miranda | Erica Matos,5946601,652998089102625,997651632954
136,Matias,Ivan,M,2.03,PRT,27 11 1913,40688569,40688569 3 ZZ2,25 07 2026,Lisandro Machado | Jéssica Ramos,8816492,875625032508793,528452392530
137,Lourenço,Pilar,F,1.79,PRT,11 08 1989,61150595,61150595 1 ZZ8,07 12 2025,Mário Santos | Teresa Lima,660759,706993474657791,89399650546
138,Nogueira,Marcos,M,1.64,PRT,09 09 1913,95872342,95872342 9 ZZ3,30 01 2022,Tomás Carvalho | Kyara Almeida,985136,807479927077388,655647500319
139,Nunes,Helena,F,1.56,PRT,11 11 1985,59754237,59754237 4 ZZ4,29 04 2029,Rafael Pires | Nair Rodrigues,9797332,947948170923064,484861020691
140,Abreu,Guilherme,M,1.86,PRT,26 07 2002,98747502,98747502 9 ZZ8,30 10 2021,Fernando Almeida | Irina Martins,8489761,275654066249665,221713827162
141,Jesus,Daniela,F,1.55,PRT,13 06 2010,24304255,24304255 8 ZZ6,24 06 2024,Benjamim Amorim | Mafalda Miranda,6472068,709791355631892,740886733986
142,Nogueira,Mara,F,1.69,PRT,08 02 1929,16990368,16990368 2 ZZ5,14 06 2028,Carlos Maia | Andreia Ferreira,8134685,472953810354387,977552319038
143,Lopes,Gaspar,M,1.81,PRT,05 08 1989,31089011,31089011 9 ZZ2,18 05 2025,Filipe Barbosa | Kelly Nogueira,8659047,354367356427037,124231316547
144,Pinho,Micael,M,1.7,GBR,30 11 1958,75389545,75389545 1 ZZ5,24 06 2027,Mário Barros | Rita Oliveira,3712991,36266162212808,959294784840
145,Fernandes,Naiara,F,1.49,PRT,30 05 2006,58722420,58722420 8 ZZ7,01 01 2030,Gil Barbosa | Nádia Gomes,4614542,319897810514496,314731758226
146,Neves,Rodrigo,M,1.63,PRT,13 02 1973,35739375,35739375 9 ZZ2,05 10 2023,Lisandro Silva | Eva Amaral,3901143,803257573494283,618063904067
147,Antunes,Vicente,M,1.94,PRT,14 04 1970,5808293,05808293 8 ZZ3,25 03 2024,Luca Almeida | Ângela Batista,3045826,649793153842069,566316102081
148,Soares,Leonardo,M,1.36,PRT,18 02 1996,46807091,46807091 3 ZZ7,27 05 2024,Filipe Valente | Ema Baptista,6981032,435036629738431,969002113559
149,Leal,Flor,F,1.85,PRT,31 08 1921,19964940,19964940 7 ZZ9,31 07 2027,Edgar Moreira | Luciana Pinto,2766234,138093904037441,787475609329
150,Gaspar,Melissa,F,1.96,PRT,31 01 1938,38290828,38290828 1 ZZ3,01 03 2026,Enzo Castro | Ângela Branco,6506352,174267984306428,987505248581
151,Cruz,Francisca,F,1.75,PRT,06 08 1980,2188174,02188174 0 ZZ6,05 04 2024,Márcio Andrade | Alícia Abreu,6296874,323197490300041,446108155359
152,Nascimento,Nuno,M,1.54,PRT,13 10 1983,20958439,20958439 3 ZZ6,25 06 2023,Henrique Ferreira | Matilde Pinho,4861592,723717749108377,863849940101
153,Neto,Emma,F,1.53,PRT,30 03 1950,45604537,45604537 9 ZZ0,11 07 2027,Henrique Moura | Adriana Rodrigues,4280227,910630004604438,266288132234
154,Sousa,Bruno,M,1.95,PER,16 05 1973,45375159,45375159 0 ZZ8,27 08 2031,Diogo Nascimento | Emma Henriques,384424,892557046152420,440733085618
155,Batista,Vítor,M,1.69,PRT,27 06 1941,72508088,72508088 5 ZZ4,18 12 2024,Valentim Costa | Íris Carneiro,3569191,702294431359398,837894194558
156,Ramos,Lorena,F,1.71,PRT,12 02 1946,91375481,91375481 6 ZZ4,19 05 2031,António Silva | Ariana Rodrigues,6565932,244386816897248,594567668832
157,Campos,Diogo,M,1.73,PRT,04 10 2008,6055429,06055429 9 ZZ4,30 08 2022,Renato Azevedo | Flor Oliveira,5379245,417920167829161,963826101688
158,Araújo,Gustavo,M,1.6,PRT,19 03 2010,72528928,72528928 1 ZZ1,24 10 2029,Isaac Macedo | Yara Carvalho,7977067,395439262239311,500001702384
159,Rodrigues,Márcio,M,1.7,PRT,25 01 1916,13736427,13736427 5 ZZ7,07 04 2022,Henrique Cruz | Vitória Jesus,384419,731291075966402,422219834499
160,Leal,Jaime,M,1.85,NLD,10 12 1926,48331215,48331215 9 ZZ7,11 10 2023,Simão Oliveira | Lorena Leite,2038581,815159061793793,911671983516
161,Vieira,Manuel,M,1.8,PRT,17 02 1915,98525414,98525414 2 ZZ3,08 12 2028,Dinis Fonseca | Madalena Matos,8748141,160550618690798,255539750759
162,Vicente,Letícia,F,1.78,PRT,28 05 1945,67405429,67405429 3 ZZ8,12 12 2027,Tomás Loureiro | Isabela Lourenço,9025931,907179804578234,281901463472
163,Andrade,Gustavo,M,1.75,PRT,25 04 1989,83965876,83965876 0 ZZ9,05 09 2031,Francisco Leite | Letícia Baptista,8125106,944476642996692,701491893950
